"sentiment","hate_speech","language","content"
"neg","none","german","es gibt da nichts zu verstehen, Reeves ist ein mieser Schauspieler und daher austauschbar, sonst wär der Film ganz ok. Das die Kamera nahezu an den Körper kleben, während sie ihre Kämpfe performen, und jede Kampfszene unterteilt ist in sehr schnellen cuts, zeigt einfach die Inkompetenz der Kämpfer und des Produzenten/Regiesseurs(der leider auch K.Reeves ist). Ohne Zoom und Schnitten geht da halt nicht viel. Schau dir mal Filme mit Jet Li, Jackie Chan und Tony Jaa an, da gibt es kaum cuts und die Kämpfe sind in voller Pracht zu genießen.  Vom Inhalt, sprich Handlung ist das schon vertretbar, aber die Produktion ist einfach beschissen, von deshalb Schund. Und daher hast DU LEIDER NICHTS verstanden, mein Freund des schlechten Geschmacks! Ich bin auch ein begeisterter Kampfsportfilm-Fanatiker, aber nur weil da Tai Chi draufsteht, heißt das noch lange nicht, das der gut ist...bzw in den Kämpfen sind nur wenig Tai Chi Elemente vertreten, aber ja ich bin ja dumm und verstehe nichts, was zählt denn meine Meinung schon.<br>Dieses &quot;Du hast leider nichts verstanden&quot;, zieh mich bitte nicht auf dein Niveau herunter... Als ob der Film so tiefgründig wär... außerdem impliziert so eine Aussage immer, das man dumm ist und keine Ahnung hat, nur weil man anderer Meinung ist!"
"neg","none","german","24:30 manchmal würde es sinn machen, sich angesehene videos irgendwo zu speichern. ich habe einen beitrag über bayerische schratzellöcher gesehen in denen der \"schlupf\" gerade mal 20 cm hatte und man sich fragte, wie da jemand durchgekommen ist ... ein kind hätte \"auf der anderen seite\" schwerstarbeit verrichten müßen, da es dort noch eine gute strecke weiterging. an sich liefern die sagen doch eine klare antwort, das \"kleine volk\", also die schratzeln, haben diese unterirdischen bauwerke erschaffen ... erklärt wurde das gerne mit den \"gefallenen engeln\" die unterirdisch hausen mußten ... gruß aus bayern! 🖖👽"
"pos","none","german","Ein Video zum Thema Parasiten&Co wie wird man diese los. Danke im voraus"
"neu","none","german","Servus Ihr Beiden!
Wieder mal tolle Landschaftsimpressionen mit schönen Drohnenaufnahmen!
Weiter so!
Wir sitzen leider immer noch im herbstlichen NDB fest, denn eine Einreise  nach CHN ohne wochenlange Quarantäne ist immer noch noch nicht möglich!"
"pos","none","german","Noice.
Steigerung erkennbar.
Dislikes verstehe ich nicht."
"neg","off","english","You are all being idiotic. She may have mispronounced it but it is not the end of the world."
"neg","off","english","Wait for the drop bitch 😂😂"
"neu","none","german","wenn Quentin Tarantino, Mac DeMarco und Bad Bunny ein Kind hätten, wäre es dieser Song!"
"neg","none","german","Das sollte eigentlich auch eine Selbstverständlichkeit sein😊. Leider gibt es immer wieder schwarze Schafe und diese fallen dann auf, nachdem sie irgendwo standen und ihren Müll hinterlassen."
"pos","none","english","Amazing"
"neg","none","english","THE HELMET WEARING, WINDOW LICKER.            Petr Cech"
"pos","none","german","Liebe einfach Alles und Jeden"
"neu","none","german","Gibt es mittlerweile irgendwelche Hinweise wohin Andreas Noack verschwunden ist? Er ist anscheinend vom Erdboden verschluckt worden."
"neg","none","german","Sinns Einleitungssatz würde ich wie folgt abändern: Das IFO-Institut ist eine Kaderschmiede für Neoliberale geworden.
Der deutsche Wettbewerbsvorteil hat ja mit der Macht der Sinns, des IFO und der neoliberalen Lobbyisten zu tun, welche die Arbeitnehmer in Deutschland gegeneinander in Tarif, Billig und HartzIV ausspielen konnten; dass sich kein zweites Volk in der EU dies so gefallen lassen würde, um ein Teil des Volkes zu altersarmen Flaschensammlern zu machen. Natürlich bringt derlei einen Wettbewerbsvorteil gegenüber anderen, die auch noch einen anderen Lebenssinn als Arbeit sehen. Für Sinn war es wichtig, von seiner Lobby gut bezahlt und zu dem gemacht zu werden, was er heute an tragischen Unsinn vortragen darf."
"neu","none","german","Anras...etwas westlich von Assling."
"neu","none","german","für Investitionen in BITCOIN und Ethereum sende mir direkt eine Nachricht im WhatsApp Messenger"
"neg","off","german","@Ben Ko LAN hal dein maul du nazi"
"neu","none","german","Kann man immer gebrauchen oder verschenken oder spenden an Obdachlose oder Erdbebenopfer. Schon mal davon gehört? Z.B. wollengel Düsseldorf. Es werden Wollspenden sowie gehäkelte oder gestrickte Decken, Babydecken, Mützen, etc. dringend gebraucht...🙋‍♀️"
"neu","none","german","Haha, ja aktuell können wir nicht so viel mitnehmen, da wir immer ne ganze weile mit dem Zug fahren müssen, aber bald fahren wir mit auto und dann nehmen wir alles mit."
"neg","none","german","hacker macht deinen pc kaputt....cheater bescheißen nur damit sie auch mal n kill bekommen...<br><br>hacken ist nich cheaten"
"neg","none","german","Ich glaub Senna hat sich die Folgen mal selbst angeschaut und hat gemerkt wie unauthentisch und asozial die Show ist, deshalb keine neue Folge mehr"
"pos","none","english","Miss you your the best"
"neu","none","german","Hab keine dummen Sprüche gehört.."
"neu","none","german","Der ROTE KNOPF ist an, Sirenen heulen hell
Das Bier kriegt mich noch schneller als die süße Michelle
Der Teufel reitet mich und packt mich fest am Kragen.
Ich hör ein Schlaflied über mir LALÜ LALA
So'n Mist! Nur Einbildung! Es macht TATÜ TATA
Es ist nicht dein Schlaflied! Das ist der Krankenwagen
Ich war im Nüchternzustand viel zu schüchtern drauf, kaum war ich voll traf's mich ein Tick zu toll.
Peter Wackel singt sein Hit in Dur und ich sing mein in Moll
Ich habe geträumt von Bier..."
"neg","hate","german","Ihr gehört in ein Libysches Gefängnis Ihr seid schuld an den Verbrechen die Eure Schützlinge in Europa begehen Ihr seid keine guten Menschen Ihr seid Schlepper und damit Verbrecher."
"neu","none","german","@Leon Der Simp das war eins seiner thug Life Videos ich glaube es war Teil 88 also zwischen 80 und 90"
"pos","off","german","Muss gestehen, dass ich länger kein Video von dir gesehen habe. 
Dieser Frisur in Kombo mit dem Bart stehen dir echt verdammt gut. Ziemlich sexy. No homo. Oder doch? Kp.."
"pos","none","german","Super cooles Video 👍👏☺!
Werde ich demnächst mal testen und dir dann berichten wie es mir ergangen ist 😉.
Wäre super wenn du die Menge für 1m³ Beton hast 🤗. Oder zumindest die Ltr. die man mit dieser Rezeptur bekommt.
Auf jeden Fall hast du ein Abo mehr 🥳👍❤"
"neu","none","english","Looks like the crowd need to loosen up a bit."
"pos","none","german","avocados sind aber nicht low fat :DDD
gutes video :)"
"neu","none","german","In der 2er und 3er Team Wertung sind aber die genannente Teams nicht auf Platz 1 laut Ergebnisliste? 🤔"
"neu","none","english","@Bobbe they forgor"
"pos","none","german","Spoiler





Wie geil war das denn bitte.
Wenigstens hier der win für die roten Teufel"
"neg","hate","english","WORRLLDDDD PAY ATTENTION! ...I AM ABOVE PAUL! I AM ABOVE SALOMON.... IT JUST TAKE A MATTER OF GOD'S ABDUCTION...TO YOU TO (@@) spiritual... BECAUSE YOUR SPULS ARE FOR CENTURIES ..SIDE-EFFECTED... LINKING \"HOLY\" THINGS TO DEAD THINGS..DEAD PEOPLE! .... IN THE TIMING BIBLE... BUT ..FUCK OFF TAYLOR SWIFT...FUCK OFF 23 WATCHING OVER BRAZILIANS.... FUCK OFF BLONDE WITH BLUE EYES...FUCK OFF RIO GRANDE DO SUL... AND SANTA CATARINA ALL COMBINED.... I JUST LOOK UP TO....MOSES!  AND I DO NOT ENVY THE DISCIPLES!!!! .... SET SYSTEM: TAYLOR SWIFT..THE VALUE SEEKER BITCH.... SICK AS HELL... AVRIL LAVIGNE TOO... REPEATING VIDRO CLIP... BETTER YOU GO FIND A MAGIC SOLUTION TO COMBAIN \"DONALD TRUMP..BILL GATES...LEONARDO DA VICCI....EINSTEIN\" ..INTO ONE PETSON..IN YOUR DREAMS!! BITCH USELESS!!!!!!!!!!! DID YOU GET THAT? BITCH....USELESS....  NEVER GOING TO COLOMBIA...SPIRIT OF TAKING PART IN DECEPTION.... THE DEFECATION brazilian STATE OF RIO GRANDE DO SUL... GOD SHOWED ME IMAGES OF ANA HICKMAN..SHE CAME....NIIICE...BUT I WILL CONNECT TO SHITTTT.... LOW SCHEMIST BIG NOSE....NOT SUPER TO ME PIECE OF SHIT PEOPLE..IDOLS WORSHIPERS...FANTASY COLLECTORS..... SET OF VIDEOS..JUST TO YOU..WITH YOUR HORIZONTAL POWER... TO GET THRU THE GREATEST MIND SINCE JESYS CHRIST!!!! .... I NEED AN ABDUCTION.... AGAIN: I AM NOT YOU.... YOUR FUCKING SYSTEMS OF ASSESSMENT...PUT DATA..WHOSE FORESIGHT..IS YOUR MINDS!!!!!.... \"LETS PUT THESE..BECAUSE THAT..HE IS AS SUCH THIS!\" ...I AM NOT LIKE YOU..NEVER...I JUMPED INTO THE DANGERNESS TOTALLY HEALTHY...JUST TO SEE ..YOU!!!... GOT THAT?... I DONT SEE LIKE YOU SEE... I DONT FEEL LIKE YOU ALL ADDICTED SICK FEEL.... GET THIS: A PERSON ADDICTED TO ALCHOOL... GOING TO BARS... YOU NOTICE AND SAY: \"WHAT A LOUSY DRUNKER MAN...EXAGETATING\".... FOR ME..YOU ALLLLLL...ARE DRUNKERS!... MAKE A TEST: SHOOT A BULLET INTO MY HEAD... YOU WILL SEE THIS: ~~~[~] !!! ...BLACKHOLE..ANOTHER DIMENSION..AND THE ENTIRE EARTH....ON FIRE..SHOUTING INEXISTENCE...WHILE..I..IN TURN... SET STILL JOYLLY...MY LIFE QUEST IN HAPPINESS.. NOW..ANALISE GREED AND SELFISHNESS WITH....YOUR SOULSSSSS... I JUST WANT THIS YEAR: 2 TRILLION DOLLARS... \"FORWARD\" \"^\" .... THANK YOU ALIVE! ...FUUUCKKK YOUUUUU..... I AM STOPPING WOMEN SEEKING.... JUST 2 TRILLIONS... jusT.... BECAUSE ACCESS= HONOR! ....DID YOU GET UNIVERSE OF THAT? CRISTAL CLEAR? ....FILLING A SUPER BOAT WITH 1.000 BLONDES WITH BLUE EYES... DOES NOT FIT..ASHOLES!!! ....I AM ABOVE YOU....HORIZONTAL IS MIRAGE...LET ME SAY IT AGAIN: I AM ABOVE youuuuuuuuu. DECIDE: DEATH... OR..MY WAY: 2 TRILLION DOLARS JUST FOR THE YEAR 2021!!!! ....TO HEAR A \"HELLO\" FROM ME = $1527,00 / 2 MINUTES... CASE POSSIBLE: I DONT SEE IT...ANY.... OK... to youuuuuuuuuuuuuuuuuu"
"neu","none","german","Darf ich fragen, welche Meditation Sie benutzen? Such noch was passendes...."
"pos","none","german","Der Freddy Mercury aus Wien"
"pos","none","english","gorgeous 👍👍👍
music &motion #fat match!!"
"pos","off","german","Ballern Kugeln so wie alaba ich bin ein motherfucker araberrrr 🇱🇧🇱🇧🔥🔥🇱🇧🇱🇧



Like wer es auch feiert 🔥"
"pos","none","english","Can i have the sheet music 'cause the link is not working anymore? Congratulations and thank you. Motorhead for life !"
"neu","none","german","einen ferngesteuerten Hubschrauber gibt es seit 50 Jahren!"
"neg","none","english","big but ugly."
"pos","none","german","bei Technik sehe ich das anders rum. Ich hätte da ein 2 zu 1 für dima gegeben, weil seine Reime sinnvoller im Kontext stehen .

Beispiel Raptator: \"Womit willst du mich Fronten, mit der Vergangenheit? / bla , jetzt komm der blanke Neid/\" das ist ein passabler Reim aber wirkt schon hart konstruiert..

Dima macht es besser : er bezieht sich in 2 Zeilen auf das selbe Thema , sagt z.B. etwas mit Reimen \"du schwuler Kek\" und spinnt den Vorwurf weiter und kommt in der Nächsten Line ironisch mit \"das nenn ich guten Rap\" 

Der Zusammenhang der Reime ist auch wichtig für eine gute Technik,  sonst könnte ich jede Line 10 Silbig Reimen, wenn sie in keinem sinnvollen Kontext zueinander stehen müssen.

Flow und Punchlines seh ich wie du, beim Video hast du Recht, Extrapunkt hätte ich dima gegeben , aber das ist subjektiv also auch nicht verwerflich 
Sonst gute Quali, vorallem die Länge ist angemessen (hoffe das ist nicht zu viel Arbeit)
Peace"
"neg","hate","german","Du auch Behindert???"
"neg","none","german","Oh nein 😳"
"pos","none","german","Klasse, Christian! Let the good times roll!"
"neu","none","german","Und wie"
"neu","none","english","Hey there, is the number on the adds a weakaura? i see you used it as an interrupt order, am I right? Could you link it? Or the addon, if thats the case."
"pos","none","german","du kannst einen ja ganz schön auf die folter spannen^^...thema magier^^...ich bin sowas von neugierig und hoffe ich seh hier bald mehr^^ ...aber die bauten deiner höhle sind echt super bisher...lg"
"neg","off","english","iz pme m8 rekt noob im joking im level 99 bitch"
"pos","none","english","nice video you make there it is really cool"
"neu","none","german","Wenn der Körper kaputt ist, kann jedoch niemand mehr zurück.
Egal ob es noch Aufgaben gibt, die man erfüllen muss.
Und auch wenn es so etwas wie eine Seele gibt.

Ich hoffe so sehr, dass eine Nahtoderfahrung nicht einfach nur ein Hirngespinst ist."
"pos","off","english","I&#39;m sure you can! And thanks :D<br><br>Lol, you just called me a little bitch! "
"pos","none","emoticon","<3 <# <3"
"neu","none","german","Insel im Wind   ( RetsiB )

mein Verlangen ist es hier zu sein
um deine Ecken und Kanten zu spüren
es zieht mich immer wieder hierher
die Sucht, die Magie und das Meer
dein Zauber zieht mich hier hin
du meine Insel im Wind
schwarze Asche aus Vulkangestein 
die durch die offenen Hände rinnt
die Zeit steht still und mein Herz lacht
wenn die Flut gegen die Felsen kracht
dein Zauber...
einfach traumhaft fast wie im Paradies
wenn der Wind mit Sand und Wellen spielt
tausend Illusionen werden Wirklichkeit
und endlich wieder Zeit für Zeit
dein Zauber..."
"neg","none","german","Und wieder ein erfolgloses Konzept der Stadt Herten :D 
"
"neu","none","german","Will die yeezy unbedingt haben evtl für nen guten Preis"
"neu","none","german","Sun Diego - Der Teufel trägt NMD instrumental by RYM"
"neg","none","german","Am ende ein Terrorist, der sich in die Luft sprengt und andere in den Tod reist"
"pos","none","german","Die Halloween-Party

Seit einigen Jahren wird Halloween auch in Deutschland immer beliebter. Vor allem kleinere Kinder laufen gern verkleidet von Haus zu Haus und rufen „Süßes oder Saures!“ Das bedeutet so viel wie: Gib uns Süßigkeiten oder du bekommst Ärger! (Gib uns Süßes oder wir geben dir Saures!)

In unserem Freundeskreis veranstalteten wir letztes Jahr eine Halloweenparty. Wir hingen überall dunkle Stoffe auf und dekorierten die Räume mit Spinnweben und Fledermäusen. Jeder trug ein Kostüm: Die Kinder waren als Teufel, Zauberer und Hexe kostümiert, ich war ein Gespenst, Jan kam als Vampir und Laura hatte sich mit Klopapier als Mumie verkleidet. Ein Freund hatte sogar seinem Hund das Fell toupiert, damit der aussah wie ein Werwolf. Aber die beste Verkleidung trug Daniel – er hatte sich ein riesiges grünes Monsterkostüm gebastelt. Das war bestimmt viel Arbeit.

Unsere Nachbarn wussten von unserer Party und wollten unbedingt unsere Kostüme sehen. Also zogen wir am frühen Abend durch die Straßen, klingelten an jedem Haus und riefen „Süßes oder Saures!“ Die Nachbarn waren so begeistert, dass sie uns jede Menge Süßigkeiten gaben. Die packten wir in unseren Sarg, den wir aus Pappmaché gebastelt und auf einen Handwagen gestellt hatten.

Wieder zu Hause, feierten wir weiter und naschten den ganzen Abend Süßigkeiten. Ich glaube, bis nächstes Jahr Halloween ist mein Bedarf an Süßigkeiten gedeckt."
"pos","none","german","Wie sagtest du immer abwarten Tee trinken :D"
"pos","none","german","Kämpfe, gib nie auf.Besiege diesen Teufel."
"neg","hate","german","das schadet denen kein bisschen , mit voll gas , oder jeden gang voll ausfahren tuen nur leute die meinen es so zu tun .. sowas finde ich dann irgendwie behindert"
"pos","none","english","ok thank you for saying that imma back up my stuff before doing this brb"
"pos","none","german","Sehr geil. Direkt ausprobieren 😎"
"pos","none","german","Die Qualität des Videos zeigt sich, wenn man es Jahr für Jahr wieder schaut...😇😋"
"pos","none","german","XD SAKUUUU GIBTS DEN!!!
*smile*~"
"pos","none","german","gutes video aber muss man das auch in trainingstage nehmen oder reicht nur ein eiweißcheck , wir bitten sie um ganze programme"
"neg","none","german","Und ich Idiot wundere mich seid Monaten warum ich das AES nicht Aktiviert kriege : ("
"pos","none","german","smooth af <3"
"pos","none","german","Mehr, Mehr, Mehr BITTESCHÖN :D"
"pos","none","german","mein Beileid Familie Funk  ich bete für eucj Kath  Reimer"
"neu","none","german","Nein. Mondopia hatte kurzzeitig, um die Creative-Plots zur Verfügung zu stellen, einen kleinen Nebenserver, dieser existiert nun aber nicht mehr."
"pos","none","german","du hast ne katze😍


von welcher rasse?"
"neu","none","german","Der da gesessen hat,war nicht gut für euch!!👍"
"neu","none","english","*me: sees king dice is wearing purple*
*me: surprised he ait gay...*"
"neg","off","german","ich finde es asozial weil in einem Clan sollte man sich unterstützen"
"pos","none","german","Super dass du die Grafik mit dabei hast, das hilft wirklich total! Danke für das super beginnerfreundliche Video : )"
"neu","none","german","Wie kann ich die schwarze Maske zerstört vom GAME MASTER???"
"neu","none","english","Alternate title:Three random people having stroke in haunted house"
"pos","none","english","Thnaks"
"neg","none","german","nur  inet rambos  kucken den schmutz content abfall"
"pos","none","german","4k ist jetzt verfügbar 😀"
"neu","none","german","@@boxhox und hat er sie vergewaltigt?"
"pos","none","german","Das freut mich sehr. Herzlich willkommen auf meinem Kanal😀🥃"
"neg","none","english","what a fucking state, walking in like ufc fighters...but fat fuckers in argos bling, so called fans are only there for a piss up!not a sport!"
"pos","none","german","Vielen lieben Dank. Mit Sicherheit kommt ein Part 2 mit dem Michael zusammen. Der Teufel steckt wie immer im Detail. Auch bei dem Online Arbitrage Business muss man auf sehr viel achten."
"neu","none","german","Was bist du für ein Landsmann?"
"neu","none","german","So ca 7 km /h"
"pos","none","english","@Kishimi thank you im love your content too"
"neu","none","german","ZDR info hatt eine neue rlReportage uber Italien und die Mull Mafia. 3 Tage alt.."
"neu","none","german","Mich würde mal interessieren, weil du \"Schwul\" sagtest, wie die Japaner zu Homosexualität stehen. ^^' Also wenn zwei Frauen Händchen halten etc."
"neu","none","german","KnuffiGHG 8888 Es ist ein ausschließlicher SkyPVP Server aber vllt wird er ja Mal ein Minigames Server Mal sehen ;)"
"pos","off","german","Danke für die ehrlichen Worte!!!!😉👊👍Endlich noch jemand der merkt was für ein 31er und was für eine Snitch Bitch er ist!🤙"
"neg","none","german","1,5 Millionen Aufrufe aber keine Kommentare, find ich seltsam"
"pos","off","english","flranklin is the best , he is nigga"
"pos","none","emoticon","😍🤧"
"neu","none","german","@Chris Tornes <br>Nein, es ist kein Rassismus. Es mag vielleicht taktlos sein, fremde Personen darauf anzusprechen. Das ist ein Unterschied. <br>Dieses hysterische &quot;Alles Rassismus!&quot;-Gebrülle hat etwa dieselbe Wirkung wie jedem das Nazi-Wort anzuheften. Der inflationäre Gebrauch lässt Menschen abstumpfen und begünstigt zudem einen verharmlosenden Effekt gegenüber den Ideologien des NS und Rassismus."
"neu","none","english","(Pre-Hook)
I wake up 
It's another regular day
Another muthafucka tryna wipe this smile off my face 
I wake up 
I think about way back in my day
I think we about when we was kid and all the times we would play

(Hook)
I'm just like you 
Ima human with a dream
(yea) and I know this nothing new 
(yea)I tend to overthink
Rebel life is what we know

In this life there's a lot of roads 
I'm just chilling and smoking weed , tryna see where this gon lead, what's gon be of me?

(Post-Hook)
I'm just another regular dude 
Another muthafucka tryna get my ass up for school 
And I smoke a few like one or two
That'll get me thru my day 
Please do not fuck up the mood 
   

Pour up the bottles, more drugs than the cartel 
come on let roll up blunt 
The image is partial"
"neu","none","german","Eine sieht man nicht so leicht die ist bei dem überdecktem Metallplatten"
"neu","none","english","Cuz bullets travel in a curved shape, so always aim 4 the head or higher (the more distance between u & foes the higher it needs 2 be aimed)."
"neu","none","german","die gewürze sind in deutsch beschrieftet "
"neg","off","german","Naaaah die Bullen sind dann einfach nur korrupt töten dich und bringen dich zum ragen"
"pos","none","german","ich hab das gefühl das du die schwarze jogginghose mit den löchern anziehst😂💗"
"pos","none","german","Wer guckt dieses Meisterwerk noch in 2022?"
"neg","off","german","keine echte bitch =D
"
"neg","none","german","_„Ein friedfertiger Mensch wie Prof. Dr. Bhakdi wurde in den öffentlich-rechtlichen Medien denunziert und diskreditiert.“_
Es geht nicht um Aussagen, mit denen Prof. Dr. Bhakdi „denunziert“ oder „diskreditiert“ wurde – es geht um die Aussagen, die er selber gemacht hat. 

Seine Behauptung, die Juden hätten mit den Corona-Maßnahmen _„ihr eigenes Land verwandelt in etwas, was noch schlimmer ist, als Deutschland [im Nationalsozialismus] war“_ lässt m.E. keinen Interpretationsspielraum zu. Wenn das nicht antisemitisch und Holocaust-verharmlosend ist, weiß ich nicht, was sonst als antisemitisch und Holocaust-verharmlosend bezeichnet werden kann. Ich weiß, dass das nur ein kurzer Ausschnitt eines längeren Interviews ist. Aber wenn ein Ehemann seiner Gattin eine Stunde lang erzählt, wie sehr er sie liebt, sie aber zwischendurch als „dreckige Hurenschlampe“ bezeichnet, kann er das nicht damit entkräftigen, dass er ja sonst nur Gutes über sie gesagt habe.

Ich denke, es sollte möglich sein, die positiven Seiten und Verdienste Bhakdis herauszustellen und _trotzdem_ kritisch festzustellen, dass er mit diesen Äußerungen über „die Juden“ bis über die Ellenbogen in die antisemitische Scheiße gegriffen hat (um es mal vorsichtig zu formulieren…). Selbst der Goldegg Verlag, der keine Probleme damit hatte, Bhakdis umstrittene Bücher zu veröffentlichen, distanzierte sich vehement „von derartigem Gedankengut“ und stellte die Zusammenarbeit mit ihm ein. 
Mir ist völlig unverständlich, wie sich eine Partei, die sich (nach Ihren Worten) _„klar gegen Antisemitismus, Faschismus und Rassismus positioniert“,_ solche Äußerungen verteidigen kann."
"pos","none","german","👍👍👍"
"pos","none","german","Cooles Video, Abo hast du, lg Melanie😎😇"
"neg","none","german","Wir haben schon so lange &quot;mord und Totschlag) seidem  wir diese Regierung haben."
"neg","none","german","Die Banken werben für papierlose Kontoführung. Stattdessen für elektronisches Onlinebanking. Die Surfer und Rechenzentren dafür verschlingen elektrische Energie. Also weder so noch so ist dem Planeten geholfen. Weiß jemand den Ausweg, die echte gangbare Alternative?"
"neg","none","german","Denkst du ich bin nicht Türke:) , aber trz schlechte Rechtschreibung"
"pos","none","german","Hubert Zintl freut mich, dass es Dir gefallen hat."
"neu","none","german","Als Kind immer dort gewesen ,schwimmen gegangen, Museum geschaut tja und später dann Binnenschiffer geworden .Heimat verpflichtet halt . Bis heute noch Binnenschiffer"
"pos","none","german","Ich finde den Song sehr gut gewählt von der Baseline und der \"Melodie\" her. Was für mich etwas weniger gut klingt, ist der Übergang vom ersten Muster der Baseline zum zweiten, er klingt anders als die Restlichen. (Ich bin mir nicht sicher, aber kann es sein, dass der erste Takt des zweiten Muster der Baseline noch das Muster der ersten Baseline bis zur Hälfte beinhaltet?) Die zweite Sache die mir aufgefallen ist, ist die \"Melodie\" im jeweils letzten Teil, welche einen anderen Rhythmus als die restlichen Teile aufweist, was wie auch bei meinem ersten Punkt störend wirken kann, wenn diese Grundmelodie über den ganzen Song wiederholt wird. 
Zum Schluss möchte ich noch anmerken, dass die Punkte, welche ich als Kritik geäussert habe, natürlich auch Stilmittel sein können, wodurch diese vollkommen berechtigt in deinem Song vorkommen und somit keine Fehler sind.
Ich kann dir das Ganze auch noch privat erklären, falls die schriftliche nicht verständlich ist.
mfg
Dr Idiot mit äm Undercut ^-^"
"neg","off","english","yeah hes agreeing with you fuck tard"
"pos","none","german","Cooles Video :D
Ja, bin auch seit fast nem Jahr davon betroffen. :'D"
"neu","none","german","@Necrodemus Nein, es geht um die Opferruhe. Natürlich sind diese Horrorgräben keine würdige Ruhestätte. Die wird den Opfern wohl leider nie vergönnt sein. Aber deren Asche einfach mal eben für &quot;Kunst&quot; (und sei sie auch ein Mahnmal in guter Absicht) auszubuddeln, ist für die Angehörigen verletzend. Und mit dieser Meinung bin ich nicht alleine. Die Opfer dürfen niemals in Vergessenheit geraten!!<br>Ich stelle mich klar gegen jegliche Form von Faschismus und halte es auch für höchst gefährlich, wenn sich eine Partei wie die AfD über die Hintertür der Konservativen Zugang an die Macht verschaffen könnte."
"pos","none","german","Redaktion „Heilung-Live“ Zeugnisse, die wir seit Beginn erhalten haben: 
Am ersten Abend wurde für eine Frau gebetet, die Missbrauch erlebt hatte. Es war nicht mein Name, doch ich betete mit den Gedanken, auch andere Frauen haben ähnliches erlebt. Oh mein Gott, plötzlich würgen und aus der Tiefe des Bauchraumes spucken. Befreiung! Heilung! AMEN! Ja, etwas ging von mir, eine große Erleichterung und Freude trat ein. Am ersten Abend, ohne meinen eigenen Namen gehört zu haben. Gott ist so gut. Später wurden irgendwann mein Name und die Anliegen für meine Familie vorgelesen. Da wusste ich bereits, GOTT hört, schneller als wir annehmen, anders als wir denken, genauer als wir es je könnten. Jenny

Von Herzen danke ich für euer Gebet für meine geliebten Eltern Hans und Vreni. Nachdem beide schwer an Corona erkrankt waren und der Zustand meiner Mutter sehr kritisch war (schwere Lungenentzündung) und der Geist des Todes sie bereits fest im Griff hatte, konnten heute beide das Krankenhaus verlassen (Zustand stabil). Corona ist besiegt! Jesus gebührt alle Ehre! Shalom, 
Irene

Am Tag 8 bei Heilung Live, als Pierrot betete und die Menschen von Tod und Krankheit freisetzte, musste ich zuerst ganz stark weinen! Der Herr bat mich, das Gebet ein zweites Mal durchzubeten, da ich massiv davon betroffen war, das schon seit 50 Jahren! Ich musste ganz stark husten und mich infolge dessen übergeben! Ich hatte eine enorm starke Manifestation! Es schrien sogar Dämonen aus mir heraus! Ich wusste, das ist der Sieg über meinem Leben, da ich mit enormer Schwäche und Erschöpfung sowie auch schon einem Burnout in der Vergangenheit zu kämpfen hatte! Ich wusste vorher manchmal kaum, wie ich den Tag mit Hausarbeit schaffen sollte, so musste ich täglich überwinden lernen und war nur 50-60% vom Tag einsatzfähig! Konzentrationsschwäche, Nervenschwäche, Muskelschwäche, Gewebsschwäche, auch Organschwächen sowie viele andere Gebrechen wurden vom Arzt als symptomatisch eingeordnet! So ging ich zum Hausarzt, Frauenarzt und seit vielleicht 15 Jahren zum Chiropraktiker und vielen, vielen Jahren in die Seelsorge! So kam ich nie ganz ohne stärkende Präparate und andere Hilfsmittel in Form von Tropfen und Tabletten durch den Alltag! Seit dieser Freisetzung ist erstaunliches passiert, ich habe eine Kraft, wovon ich nur träumen konnte! Mit einer nie gekannten Leichtigkeit kann ich die Arbeiten im Haushalt verrichten, ohne dass ich mich wieder davon erholen muss! Eine Freude und auch ein neuer Glauben erfüllt mich, als hätte es all diese Jahre der Trübsal und des Kampfes nicht gegeben. Mein Körper fühlt sich ganz anders an, als wäre ein großer neuer Austausch passiert! Ich kann den Herrn dafür nur erheben, ihm danken und ihn loben! Danken möchte ich euch allen, für all eure große Hingabe und euer mächtiges Dienen! Ihr seid ein mächtig großer Segen für uns alle! Möge der Herr euch alle über alle Maßen segnen! Mit herzlichen Segensgrüßen verbleibt 
Doris"
"neu","none","german","Und wie wird das mit Geld ?"
"neg","none","german","Touhou Eurobeat...
Wohl eher Freifahrkarte in ne Leitplanke"
"pos","none","german","Danke bro wird mal Zeit für unseren Clip"
"neu","off","english","Science bitch 🧪"
"neg","none","german","die sollten umbedingt die waffen symetrisch anbringen  das sieht echt hässlich aus wie die waffen angebracht sind bei dem"
"neg","off","german","DeathMaster  das ist ein Säugetier du Idiot xdd"
"pos","none","emoticon","@@Bangoozle 😡😡😡🤣🤣🤣"
"pos","none","german","Wow! 🦾❤️"
"neu","none","english","What episode"
"neu","none","german","Hast du eigentlich auch Mitarbeiter oder machst du das alles alleine??"
"pos","none","german","Also echt so bescheuert dieses Schiff😂"
"pos","none","german","Danke dir"
"neu","none","german","WLF AB Gefahrgut."
"neu","none","english","Babette Hafner Style"
"pos","none","german","Toller Ofen, hast du schon mal versucht darin gusseisen zu schmelzen? Das sollte mit 1250°C eigentlich möglich sein. Bei meinem Ofen hab ich mich das bis jetzt noch nicht probiert."
"pos","none","english","Fat beat"
"neu","none","english","#JeffMucci"
